ionizable_lipid,ionizable_lipid_group,ionizable_lipid_structural_class,peg_lipid,sterol_lipid,helper_lipid,target_type,ionizable_mol_percent_est,helper_mol_percent_est,cholesterol_mol_percent_est,peg_mol_percent_est,total_structural_lipid_percent_est,non_peg_lipid_percent_est,peg_fraction_of_total_lipid_est,ionizable_fraction_of_non_peg_lipid_est,helper_fraction_of_structural_lipid_est,cholesterol_fraction_of_structural_lipid_est,ionizable_helper_ratio,ionizable_cholesterol_ratio,ionizable_peg_ratio,helper_cholesterol_ratio,helper_peg_ratio,cholesterol_peg_ratio,microfluidic_device_family,primary_aqueous_buffer,primary_aqueous_buffer_mM_est,aqueous_phase_pH,aqueous_buffer_acidity_proxy,organic_ethanol_percent_est,organic_phase_contains_aqueous_component,organic_fraction_post_mix,aqueous_fraction_post_mix,post_mix_ethanol_fraction_est,post_mix_buffer_concentration_est,post_mix_buffer_acidity_proxy,has_sterile_filtration,storage_buffer_identity,frr_est,ionizable_adv_MolWt,ionizable_adv_MolLogP,ionizable_adv_TPSA,ionizable_adv_NumHAcceptors,ionizable_adv_NumHDonors,ionizable_adv_NumRotatableBonds,ionizable_adv_HeavyAtomCount,ionizable_adv_FractionCSP3,ionizable_adv_RingCount,ionizable_adv_NumHeteroatoms,ionizable_adv_MolMR,ionizable_adv_FormalCharge,peg_adv_MolWt,peg_adv_MolLogP,peg_adv_TPSA,peg_adv_NumHAcceptors,peg_adv_NumHDonors,peg_adv_NumRotatableBonds,peg_adv_HeavyAtomCount,peg_adv_FractionCSP3,peg_adv_NumHeteroatoms,peg_adv_MolMR,peg_adv_FormalCharge,helper_adv_MolWt,helper_adv_MolLogP,helper_adv_TPSA,helper_adv_NumHAcceptors,helper_adv_NumHDonors,helper_adv_NumRotatableBonds,helper_adv_HeavyAtomCount,helper_adv_FractionCSP3,helper_adv_NumHeteroatoms,helper_adv_MolMR,helper_adv_FormalCharge,total_nitrogen_count,ionizable_nitrogen_count,quaternary_nitrogen_count,nitrogen_to_molecular_weight,ionizable_nitrogen_to_molecular_weight,particle_size_nm_std
Custom lipid,custom_lipid,custom_lipid,C14-PEG2000,cholesterol,DSPC,mRNA,50.0,10.0,38.5,1.5,48.5,98.5,0.015,0.5076142131979695,0.20618556701030927,0.7938144329896907,5.0,1.2987012987012987,33.333333333333336,0.2597402597402597,6.666666666666667,25.666666666666668,t_junction,citrate,10.0,4.0,2.5,100.0,False,,,,,,False,PBS,,,,,,,,,,,,,,4207.172999999995,6.090500000000161,868.000000000001,92.0,1.0,282.0,287.0,0.9948717948717949,92.0,1046.6308000000067,0.0,790.1609999999991,12.172199999999988,111.19,8.0,0.0,42.0,54.0,0.9545454545454546,10.0,222.34089999999895,0.0,,,,,,173.6
Custom lipid,custom_lipid,custom_lipid,C14-PEG2000,cholesterol,DSPC,mRNA,50.0,10.0,38.5,1.5,48.5,98.5,0.015,0.5076142131979695,0.20618556701030927,0.7938144329896907,5.0,1.2987012987012987,33.333333333333336,0.2597402597402597,6.666666666666667,25.666666666666668,t_junction,citrate,10.0,4.0,2.5,100.0,False,,,,,,False,PBS,,,,,,,,,,,,,,4207.172999999995,6.090500000000161,868.000000000001,92.0,1.0,282.0,287.0,0.9948717948717949,92.0,1046.6308000000067,0.0,790.1609999999991,12.172199999999988,111.19,8.0,0.0,42.0,54.0,0.9545454545454546,10.0,222.34089999999895,0.0,,,,,,182.6
Custom lipid,custom_lipid,custom_lipid,C14-PEG2000,cholesterol,DSPC,mRNA,50.0,10.0,38.5,1.5,48.5,98.5,0.015,0.5076142131979695,0.20618556701030927,0.7938144329896907,5.0,1.2987012987012987,33.333333333333336,0.2597402597402597,6.666666666666667,25.666666666666668,t_junction,citrate,10.0,4.0,2.5,100.0,False,,,,,,False,PBS,,,,,,,,,,,,,,4207.172999999995,6.090500000000161,868.000000000001,92.0,1.0,282.0,287.0,0.9948717948717949,92.0,1046.6308000000067,0.0,790.1609999999991,12.172199999999988,111.19,8.0,0.0,42.0,54.0,0.9545454545454546,10.0,222.34089999999895,0.0,,,,,,129.2
Custom lipid,custom_lipid,custom_lipid,C14-PEG2000,cholesterol,DSPC,mRNA,50.0,10.0,38.5,1.5,48.5,98.5,0.015,0.5076142131979695,0.20618556701030927,0.7938144329896907,5.0,1.2987012987012987,33.333333333333336,0.2597402597402597,6.666666666666667,25.666666666666668,t_junction,citrate,10.0,4.0,2.5,100.0,False,,,,,,False,PBS,,,,,,,,,,,,,,4207.172999999995,6.090500000000161,868.000000000001,92.0,1.0,282.0,287.0,0.9948717948717949,92.0,1046.6308000000067,0.0,790.1609999999991,12.172199999999988,111.19,8.0,0.0,42.0,54.0,0.9545454545454546,10.0,222.34089999999895,0.0,,,,,,125.4
Custom lipid,custom_lipid,custom_lipid,C14-PEG2000,cholesterol,DSPC,mRNA,50.0,10.0,38.5,1.5,48.5,98.5,0.015,0.5076142131979695,0.20618556701030927,0.7938144329896907,5.0,1.2987012987012987,33.333333333333336,0.2597402597402597,6.666666666666667,25.666666666666668,t_junction,citrate,10.0,4.0,2.5,100.0,False,,,,,,False,PBS,,,,,,,,,,,,,,4207.172999999995,6.090500000000161,868.000000000001,92.0,1.0,282.0,287.0,0.9948717948717949,92.0,1046.6308000000067,0.0,790.1609999999991,12.172199999999988,111.19,8.0,0.0,42.0,54.0,0.9545454545454546,10.0,222.34089999999895,0.0,,,,,,126.6
Custom lipid,custom_lipid,custom_lipid,C14-PEG2000,cholesterol,DSPC,mRNA,50.0,10.0,38.5,1.5,48.5,98.5,0.015,0.5076142131979695,0.20618556701030927,0.7938144329896907,5.0,1.2987012987012987,33.333333333333336,0.2597402597402597,6.666666666666667,25.666666666666668,t_junction,citrate,10.0,4.0,2.5,100.0,False,,,,,,False,PBS,,,,,,,,,,,,,,4207.172999999995,6.090500000000161,868.000000000001,92.0,1.0,282.0,287.0,0.9948717948717949,92.0,1046.6308000000067,0.0,790.1609999999991,12.172199999999988,111.19,8.0,0.0,42.0,54.0,0.9545454545454546,10.0,222.34089999999895,0.0,,,,,,134.6
Custom lipid,custom_lipid,custom_lipid,C14-PEG2000,cholesterol,DSPC,mRNA,50.0,10.0,38.5,1.5,48.5,98.5,0.015,0.5076142131979695,0.20618556701030927,0.7938144329896907,5.0,1.2987012987012987,33.333333333333336,0.2597402597402597,6.666666666666667,25.666666666666668,t_junction,citrate,10.0,4.0,2.5,100.0,False,,,,,,False,PBS,,,,,,,,,,,,,,4207.172999999995,6.090500000000161,868.000000000001,92.0,1.0,282.0,287.0,0.9948717948717949,92.0,1046.6308000000067,0.0,790.1609999999991,12.172199999999988,111.19,8.0,0.0,42.0,54.0,0.9545454545454546,10.0,222.34089999999895,0.0,,,,,,139.4
Custom lipid,custom_lipid,custom_lipid,C14-PEG2000,cholesterol,DSPC,mRNA,50.0,10.0,38.5,1.5,48.5,98.5,0.015,0.5076142131979695,0.20618556701030927,0.7938144329896907,5.0,1.2987012987012987,33.333333333333336,0.2597402597402597,6.666666666666667,25.666666666666668,t_junction,citrate,10.0,4.0,2.5,100.0,False,,,,,,False,PBS,,,,,,,,,,,,,,4207.172999999995,6.090500000000161,868.000000000001,92.0,1.0,282.0,287.0,0.9948717948717949,92.0,1046.6308000000067,0.0,790.1609999999991,12.172199999999988,111.19,8.0,0.0,42.0,54.0,0.9545454545454546,10.0,222.34089999999895,0.0,,,,,,
Custom lipid,custom_lipid,custom_lipid,C14-PEG2000,cholesterol,DSPC,mRNA,50.0,10.0,38.5,1.5,48.5,98.5,0.015,0.5076142131979695,0.20618556701030927,0.7938144329896907,5.0,1.2987012987012987,33.333333333333336,0.2597402597402597,6.666666666666667,25.666666666666668,t_junction,citrate,10.0,4.0,2.5,100.0,False,,,,,,False,PBS,,,,,,,,,,,,,,4207.172999999995,6.090500000000161,868.000000000001,92.0,1.0,282.0,287.0,0.9948717948717949,92.0,1046.6308000000067,0.0,790.1609999999991,12.172199999999988,111.19,8.0,0.0,42.0,54.0,0.9545454545454546,10.0,222.34089999999895,0.0,,,,,,
SM-102,SM-102,SM102_like_branched_ester_ionizable_lipid,C14-PEG2000,cholesterol,DSPC,mRNA,50.0,10.0,38.5,1.5,48.5,98.5,0.015,0.5076142131979695,0.20618556701030927,0.7938144329896907,5.0,1.2987012987012987,33.333333333333336,0.2597402597402597,6.666666666666667,25.666666666666668,t_junction,citrate,10.0,4.0,2.5,100.0,False,,,,,,False,PBS,,710.1819999999998,12.668699999999982,76.07000000000001,6.0,1.0,41.0,50.0,0.9545454545454546,0.0,6.0,213.74779999999907,0.0,4207.172999999995,6.090500000000161,868.000000000001,92.0,1.0,282.0,287.0,0.9948717948717949,92.0,1046.6308000000067,0.0,790.1609999999991,12.172199999999988,111.19,8.0,0.0,42.0,54.0,0.9545454545454546,10.0,222.34089999999895,0.0,1.0,1.0,0.0,0.001408089757273488,0.001408089757273488,
OF-02,OF-02,OF_degradable_lipid_family,DMG-PEG2000,cholesterol,DOPE,mRNA,40.0,30.0,28.5,1.5,58.5,98.5,0.015,0.40609137055837563,0.5128205128205128,0.48717948717948717,1.3333333333333333,1.4035087719298245,26.666666666666668,1.0526315789473684,20.0,19.0,other_microfluidic,unknown,,,,100.0,False,,,,,,True,other,,1314.1619999999994,21.05140000000001,145.6,8.0,6.0,70.0,94.0,0.7857142857142857,1.0,10.0,407.43460000000164,0.0,4556.556999999997,9.814900000000197,952.8900000000012,98.0,1.0,300.0,310.0,0.990521327014218,99.0,1132.482300000008,-1.0,744.0479999999993,11.60869999999999,134.38,8.0,2.0,39.0,51.0,0.8536585365853658,10.0,210.52669999999915,0.0,4.0,2.0,0.0,0.0030437647717709094,0.0015218823858854547,
OF-02,OF-02,OF_degradable_lipid_family,DMG-PEG5k,cholesterol,DOPE,mRNA,40.0,30.0,28.5,1.5,58.5,98.5,0.015,0.40609137055837563,0.5128205128205128,0.48717948717948717,1.3333333333333333,1.4035087719298245,26.666666666666668,1.0526315789473684,20.0,19.0,other_microfluidic,unknown,,,,100.0,False,,,,,,True,other,,1314.1619999999994,21.05140000000001,145.6,8.0,6.0,70.0,94.0,0.7857142857142857,1.0,10.0,407.43460000000164,0.0,,,,,,,,,,,,744.0479999999993,11.60869999999999,134.38,8.0,2.0,39.0,51.0,0.8536585365853658,10.0,210.52669999999915,0.0,4.0,2.0,0.0,0.0030437647717709094,0.0015218823858854547,112.0
OF-02,OF-02,OF_degradable_lipid_family,DMG-PEG5k,cholesterol,DOPE,mRNA,25.5,28.5,45.0,1.0,73.5,99.0,0.01,0.25757575757575757,0.3877551020408163,0.6122448979591837,0.8947368421052632,0.5666666666666667,25.5,0.6333333333333333,28.5,45.0,other_microfluidic,unknown,,,,100.0,False,,,,,,True,other,,1314.1619999999994,21.05140000000001,145.6,8.0,6.0,70.0,94.0,0.7857142857142857,1.0,10.0,407.43460000000164,0.0,,,,,,,,,,,,744.0479999999993,11.60869999999999,134.38,8.0,2.0,39.0,51.0,0.8536585365853658,10.0,210.52669999999915,0.0,4.0,2.0,0.0,0.0030437647717709094,0.0015218823858854547,120.0
OF-02,OF-02,OF_degradable_lipid_family,DMG-PEG5k,cholesterol,DOPE,mRNA,40.3,43.7,14.9,1.1,58.6,98.9,0.011000000000000001,0.40748230535894836,0.7457337883959044,0.25426621160409557,0.9221967963386727,2.7046979865771807,36.63636363636363,2.9328859060402688,39.72727272727273,13.545454545454545,other_microfluidic,unknown,,,,100.0,False,,,,,,True,other,,1314.1619999999994,21.05140000000001,145.6,8.0,6.0,70.0,94.0,0.7857142857142857,1.0,10.0,407.43460000000164,0.0,,,,,,,,,,,,744.0479999999993,11.60869999999999,134.38,8.0,2.0,39.0,51.0,0.8536585365853658,10.0,210.52669999999915,0.0,4.0,2.0,0.0,0.0030437647717709094,0.0015218823858854547,125.0
OF-02,OF-02,OF_degradable_lipid_family,DMG-PEG5k,cholesterol,DOPE,mRNA,29.0,48.3,21.7,1.0,70.0,99.0,0.01,0.29292929292929293,0.69,0.31,0.6004140786749482,1.336405529953917,29.0,2.225806451612903,48.3,21.7,other_microfluidic,unknown,,,,100.0,False,,,,,,True,other,,1314.1619999999994,21.05140000000001,145.6,8.0,6.0,70.0,94.0,0.7857142857142857,1.0,10.0,407.43460000000164,0.0,,,,,,,,,,,,744.0479999999993,11.60869999999999,134.38,8.0,2.0,39.0,51.0,0.8536585365853658,10.0,210.52669999999915,0.0,4.0,2.0,0.0,0.0030437647717709094,0.0015218823858854547,119.0
OF-02,OF-02,OF_degradable_lipid_family,DMG-PEG5k,cholesterol,DOPE,mRNA,56.5,10.0,31.8,1.7,41.8,98.3,0.017,0.5747711088504578,0.23923444976076558,0.7607655502392345,5.65,1.7767295597484276,33.23529411764706,0.31446540880503143,5.882352941176471,18.705882352941178,other_microfluidic,unknown,,,,100.0,False,,,,,,True,other,,1314.1619999999994,21.05140000000001,145.6,8.0,6.0,70.0,94.0,0.7857142857142857,1.0,10.0,407.43460000000164,0.0,,,,,,,,,,,,744.0479999999993,11.60869999999999,134.38,8.0,2.0,39.0,51.0,0.8536585365853658,10.0,210.52669999999915,0.0,4.0,2.0,0.0,0.0030437647717709094,0.0015218823858854547,117.0
OF-02,OF-02,OF_degradable_lipid_family,DMG-PEG5k,cholesterol,DOPE,mRNA,52.7,17.5,28.7,1.1,46.2,98.9,0.011000000000000001,0.5328614762386249,0.3787878787878788,0.6212121212121211,3.0114285714285716,1.8362369337979096,47.90909090909091,0.6097560975609756,15.909090909090908,26.090909090909086,other_microfluidic,unknown,,,,100.0,False,,,,,,True,other,,1314.1619999999994,21.05140000000001,145.6,8.0,6.0,70.0,94.0,0.7857142857142857,1.0,10.0,407.43460000000164,0.0,,,,,,,,,,,,744.0479999999993,11.60869999999999,134.38,8.0,2.0,39.0,51.0,0.8536585365853658,10.0,210.52669999999915,0.0,4.0,2.0,0.0,0.0030437647717709094,0.0015218823858854547,125.0
